OmegaBefore,ConfortViolation,WeightMax,RewardMean,Omega,DeltaOmega,Wins,ReturnsMean,Epsilon,ITERATIONS,NormDeltaVar,WeightMean,Primal,Traj,WeightMedian,DualBefore,TimestepsStd,DualAfter,TimestepsMean,LossReg,Eta,NormDeltaOmega,DualReg,WeightMin,RewardStd,ReturnsStd
[[0.8]],0,1.0,2.35076,[[0.94885972]],[[0.14885972]],0.0,1175.030303030303,1.4401,0,21.91991685095908,0.004261662532620297,7.553337364441018,100,0.012695892752121091,7.942507825840671,0.0,7.553337327517793,500.0,0.0,1.8321407557053946,0.14885972081396515,0.0,0.004261662532620297,2.424097238643698,65.56937178340043
[[0.94885972]],0,1.0,2.74296,[[0.9927229]],[[0.04386318]],0.0,1371.959595959596,1.4401,1,28.500443514988284,0.0004758812067753769,7.885315532353156,100,0.0021978540194438354,7.908430292928266,0.0,7.885315553478045,500.0,0.0,1.3071310546948827,0.043863182409474843,0.0,0.0004758812067753769,2.8089874400573596,73.2495277596277
[[0.9927229]],0,1.0,2.9516,[[0.99999807]],[[0.00727516]],0.0,1476.909090909091,1.4401,2,117.71158419343074,3.6586599985197367e-10,8.01264580437471,100,2.822653973718926e-08,8.027258601994369,0.0,8.012646169079558,500.0,0.0,0.46021967084351617,0.007275162026514015,0.0,3.6586599985197367e-10,2.9676484697483962,82.45048601814362
[[0.99999807]],0,1.0,3.00052,[[0.99999999]],[[1.92447278e-06]],0.0,1499.878787878788,1.4401,3,74.82572703593402,5.0944520231795053e-275,7.999999999999816,100,1.9068788748155843e-206,8.060977947719854,0.0,8.000705830527151,500.0,0.0,0.012666590434034883,1.9244727781364546e-06,0.0,5.0944520231795053e-275,3.003491256787674,76.10350112431915
[[0.99999999]],0,1.0,3.00256,[[0.99999999]],[[0.]],0.0,1502.3030303030303,1.4401,4,0.0,3.039307620086911e-272,7.9999999999997895,100,2.3018710671999482e-204,8.059016691045825,0.0,8.000687477476488,500.0,0.0,0.012796078962804864,0.0,0.0,3.039307620086911e-272,2.998131659283828,79.56617911841771
[[0.99999999]],0,1.0,2.97644,[[0.99999999]],[[0.]],0.0,1488.969696969697,1.4401,5,0.0,6.302982379171923e-249,8.000000000000114,100,7.073910646333107e-187,8.044124172506136,0.0,8.000542186229229,500.0,0.0,0.013998184936953557,0.0,0.0,6.302982379171923e-249,2.985659881232288,86.48903177328262
[[0.99999999]],0,1.0,3.00412,[[0.99999999]],[[0.]],0.0,1502.020202020202,1.4401,6,0.0,3.467210873758973e-276,7.999999999999632,100,2.5408860682874037e-207,8.061937456704632,0.0,8.000714919356682,500.0,0.0,0.012612922406870175,0.0,0.0,3.467210873758973e-276,3.003008995257923,81.85698045031978
[[0.99999999]],0,1.0,3.00912,[[0.99999999]],[[0.]],0.0,1505.3131313131314,1.4401,7,0.0,1.2528054343643077e-279,7.999999999999729,100,6.659056832356455e-210,8.064707457139548,0.0,8.000740827808084,500.0,0.0,0.012457258842020251,0.0,0.0,1.2528054343643077e-279,3.0052615236614604,88.92269329661676
[[0.99999999]],0,1.0,3.0042,[[0.99999999]],[[0.]],0.0,1501.5353535353536,1.4401,8,0.0,1.906048888847485e-275,8.000000000000377,100,9.122219684237894e-207,8.061387129227846,0.0,8.000709781601111,500.0,0.0,0.012646904303887457,0.0,0.0,1.906048888847485e-275,3.0018364978792564,85.28257405235976
[[0.99999999]],0,1.0,3.00324,[[0.99999999]],[[0.]],0.0,1501.030303030303,1.4401,9,0.0,1.9105038940810106e-272,7.999999999999591,100,1.6250283627286585e-204,8.059177328296068,0.0,8.000689013192902,500.0,0.0,0.012786583738015625,0.0,0.0,1.9105038940810106e-272,2.997997582120439,78.94627434680821
