ReturnsMean,LossReg,WeightMean,RewardStd,TimestepsStd,TimestepsMean,ITERATIONS,WeightMax,Eta,DualBefore,Traj,Epsilon,DualAfter,NormDeltaOmega,DeltaOmega,Wins,Primal,WeightMin,NormDeltaVar,OmegaBefore,ReturnsStd,DualReg,WeightMedian,Omega,RewardMean,ConfortViolation
1166.969696969697,0.0,0.0028169784397411098,2.413708990247167,0.0,500.0,0,1.0,1.7029710451170794,8.08758790906713,100,1.5901,7.80132058074877,0.16116348111100853,[[0.16116348]],0.0,7.8013227639054925,0.0028169784397411098,26.03555909362269,[[0.8]],61.13232122116721,0.0,0.009116472335950143,[[0.96116348]],2.33348,0
1382.949494949495,0.0,6.08183837705682e-06,2.8328281611139072,0.0,500.0,1,1.0,0.832625355945252,8.059917425110394,100,1.5901,8.055296177233167,0.03834302903082354,[[0.03834303]],0.0,8.055286311812422,6.08183837705682e-06,62.92473058272237,[[0.96116348]],85.30366124004904,0.0,6.717812834739013e-05,[[0.99950651]],2.76564,0
1512.6666666666667,0.0,0.0,3.014332748453627,0.0,500.0,2,1.0,0.00530973849965478,8.224767167192256,100,1.5901,8.001166019874235,0.0004934796319130408,[[0.00049348]],0.0,7.9999999999994715,0.0,154.0684681475854,[[0.99950651]],83.59208313971105,0.0,0.0,[[0.99999999]],3.02604,0
1498.040404040404,0.0,0.0,3.001196821269808,0.0,500.0,3,1.0,0.005403207048560224,8.20827771447237,100,1.5901,8.001096879768946,0.0,[[0.]],0.0,7.999999999999764,0.0,0.0,[[0.99999999]],80.3653173085217,0.0,0.0,[[0.99999999]],2.9958,0
1502.1616161616162,0.0,0.0,3.0055131845327177,0.0,500.0,4,1.0,0.0053760631568191275,8.21287701563893,100,1.5901,8.001116276533397,0.0,[[0.]],0.0,8.000000000000497,0.0,0.0,[[0.99999999]],80.3510865672614,0.0,0.0,[[0.99999999]],3.00324,0
1506.060606060606,0.0,0.0,3.0073574779197765,0.0,500.0,5,1.0,0.005356330787728286,8.216361040816757,100,1.5901,8.001130928645624,0.0,[[0.]],0.0,7.999999999999753,0.0,0.0,[[0.99999999]],85.96755532949427,0.0,0.0,[[0.99999999]],3.011,0
1499.4545454545455,0.0,0.0,3.0015995735607373,0.0,500.0,6,1.0,0.0053939765913782805,8.20987303503313,100,1.5901,8.001103636301432,0.0,[[0.]],0.0,7.999999999999565,0.0,0.0,[[0.99999999]],66.03263238691082,0.0,0.0,[[0.99999999]],3.0,0
1507.090909090909,0.0,0.0,3.007523753788156,0.0,500.0,7,1.0,0.005347642569089928,8.217944880464694,100,1.5901,8.001137581202736,0.0,[[0.]],0.0,7.999999999999427,0.0,0.0,[[0.99999999]],88.5064730736754,0.0,0.0,[[0.99999999]],3.01552,0
1498.121212121212,0.0,0.0,2.9996229299030235,0.0,500.0,8,1.0,0.005409083508955531,8.20732784213349,100,1.5901,8.001092873345891,0.0,[[0.]],0.0,8.000000000000208,0.0,0.0,[[0.99999999]],85.33561463892723,0.0,0.0,[[0.99999999]],2.99528,0
1493.050505050505,0.0,0.0,2.9934037081556504,0.0,500.0,9,1.0,0.005445480176548506,8.201427615968472,100,1.5901,8.001067836857883,0.0,[[0.]],0.0,8.000000000000519,0.0,0.0,[[0.99999999]],81.00048306844029,0.0,0.0,[[0.99999999]],2.9868,0
1494.9292929292928,0.0,0.0,2.9965452211505172,0.0,500.0,10,1.0,0.005426602592915997,8.204462175861318,100,1.5901,8.001080734174742,0.0,[[0.]],0.0,7.999999999999453,0.0,0.0,[[0.99999999]],72.25785092785539,0.0,0.0,[[0.99999999]],2.99124,0
1505.0707070707072,0.0,0.0,3.0051789960666238,0.0,500.0,11,1.0,0.005364633240939423,8.214946273193034,100,1.5901,8.001125007497642,0.0,[[0.]],0.0,7.999999999999692,0.0,0.0,[[0.99999999]],78.35547753090405,0.0,0.0,[[0.99999999]],3.00996,0
1507.3535353535353,0.0,0.0,3.0099167977869423,0.0,500.0,12,1.0,0.0053407479651922645,8.219116805534629,100,1.5901,8.001142462752476,0.0,[[0.]],0.0,7.999999999999644,0.0,0.0,[[0.99999999]],80.75793898882944,0.0,0.0,[[0.99999999]],3.01552,0
1494.1616161616162,0.0,0.0,2.9910611478871507,0.0,500.0,13,1.0,0.0054479571217854,8.201120664305805,100,1.5901,8.001066565454796,0.0,[[0.]],0.0,8.000000000000567,0.0,0.0,[[0.99999999]],76.11245097451283,0.0,0.0,[[0.99999999]],2.98936,0
1506.3838383838383,0.0,0.0,3.0039951422064584,0.0,500.0,14,1.0,0.005362236919961286,8.215430174587423,100,1.5901,8.001127063085297,0.0,[[0.]],0.0,7.999999999999682,0.0,0.0,[[0.99999999]],87.46332068973194,0.0,0.0,[[0.99999999]],3.01316,0
1501.8383838383838,0.0,0.0,3.001703621878749,0.0,500.0,15,1.0,0.005386257930291078,8.21122854854309,100,1.5901,8.001109371508786,0.0,[[0.]],0.0,8.000000000000377,0.0,0.0,[[0.99999999]],81.83041185560982,0.0,0.0,[[0.99999999]],3.00392,0
1491.959595959596,0.0,0.0,2.995049516518884,0.0,500.0,16,1.0,0.005444617052025799,8.201497464812748,100,1.5901,8.001068106525356,0.0,[[0.]],0.0,7.999999999999472,0.0,0.0,[[0.99999999]],81.8404359309755,0.0,0.0,[[0.99999999]],2.98456,0
1497.7575757575758,0.0,0.0,2.996658725714358,0.0,500.0,17,1.0,0.005420923698491568,8.205424188090303,100,1.5901,8.001084829022021,0.0,[[0.]],0.0,7.999999999999715,0.0,0.0,[[0.99999999]],89.37686534427975,0.0,0.0,[[0.99999999]],2.99396,0
1487.2929292929293,0.0,0.0,2.987830411251616,0.0,500.0,18,1.0,0.005484900756837961,8.195244884845724,100,1.5901,8.001041412474482,0.0,[[0.]],0.0,8.000000000000242,0.0,0.0,[[0.99999999]],73.86655351228241,0.0,0.0,[[0.99999999]],2.97656,0
1485.5757575757575,0.0,0.0,2.986412620117991,0.0,500.0,19,1.0,0.007288775922336324,8.192576930789462,100,1.5901,8.001364373814926,0.0,[[0.]],0.0,8.000000000000142,0.0,0.0,[[0.99999999]],82.44019453477247,0.0,0.0,[[0.99999999]],2.97068,0
