NormDeltaOmega,ReturnsMean,ReturnsStd,Primal,Epsilon,ITERATIONS,DualBefore,DeltaOmega,WeightMin,WeightMean,Omega,TimestepsMean,RewardStd,Eta,WeightMedian,DualReg,OmegaBefore,Wins,NormDeltaVar,RewardMean,DualAfter,LossReg,Traj,ConfortViolation,WeightMax,TimestepsStd
0.16520229826539912,1183.939393939394,64.31076981955826,7.878654577534128,1.6001,0,8.13772230741281,[[0.1652023]],0.0025802065402669994,0.0025802065402669994,[[0.9652023]],500.0,2.451157147144997,1.6778844909298547,0.008498134050046785,0.0,[[0.8]],0.0,27.664171589564173,2.3692,7.878652295509662,0.0,100,0,1.0,0.0
0.034724824626771955,1419.3333333333333,85.25801600394706,8.095629721678224,1.6001,1,8.118323863690158,[[0.03472482]],2.9327992084884974e-07,2.9327992084884974e-07,[[0.99992712]],500.0,2.882208639498536,0.6647990987347904,5.940539176883122e-06,0.0,[[0.9652023]],0.0,88.62681053810354,2.83828,8.095629902712757,0.0,100,0,1.0,0.0
7.287105938180716e-05,1497.878787878788,83.68474665536837,8.000000000000437,1.6001,2,8.217092326537902,[[7.28710594e-05]],0.0,0.0,[[0.99999999]],500.0,2.9989032979407657,0.00535489670495055,0.0,0.0,[[0.99992712]],0.0,134.24001658178884,2.99564,8.001134186593633,0.0,100,0,1.0,0.0
0.0,1486.4848484848485,76.00749081058049,7.999999999999859,1.6001,3,8.202750806062696,[[0.]],0.0,0.0,[[0.99999999]],500.0,2.984673107728885,0.005440577780639988,0.0,0.0,[[0.99999999]],0.0,0.0,2.9738,8.001073703469984,0.0,100,0,1.0,0.0
0.0,1508.7070707070707,79.56818466328839,7.999999999999862,1.6001,4,8.228961810377324,[[0.]],0.0,0.0,[[0.99999999]],500.0,3.009410301039059,0.005289587940519216,0.0,0.0,[[0.99999999]],0.0,0.0,3.0158,8.00118357687912,0.0,100,0,1.0,0.0
0.0,1499.050505050505,90.686870937038,7.999999999999733,1.6001,5,8.221296865253857,[[0.]],0.0,0.0,[[0.99999999]],500.0,3.003490937159625,0.005331064795485625,0.0,0.0,[[0.99999999]],0.0,0.0,3.00148,8.001151739945016,0.0,100,0,1.0,0.0
0.0,1509.4949494949494,80.6039543027504,7.9999999999994955,1.6001,6,8.23201499678605,[[0.]],0.0,0.0,[[0.99999999]],500.0,3.0136972405336273,0.005273152887043991,0.0,0.0,[[0.99999999]],0.0,0.0,3.01868,8.001196163673281,0.0,100,0,1.0,0.0
0.0,1481.171717171717,79.3850150483266,7.999999999999737,1.6001,7,8.196746589938657,[[0.]],0.0,0.0,[[0.99999999]],500.0,2.9809444879098304,0.0054782185903141266,0.0,0.0,[[0.99999999]],0.0,0.0,2.9614,8.00104806320404,0.0,100,0,1.0,0.0
0.0,1490.5656565656566,73.04905804412934,7.999999999999714,1.6001,8,8.207343664530077,[[0.]],0.0,0.0,[[0.99999999]],500.0,2.9886688408052167,0.005412441610371279,0.0,0.0,[[0.99999999]],0.0,0.0,2.9816,8.001093182998872,0.0,100,0,1.0,0.0
0.0,1502.5656565656566,75.16233765887473,8.00000000000044,1.6001,9,8.222647562210653,[[0.]],0.0,0.0,[[0.99999999]],500.0,3.0040468907125932,0.0053237349716930725,0.0,0.0,[[0.99999999]],0.0,0.0,3.00472,8.001157375587518,0.0,100,0,1.0,0.0
0.0,1495.939393939394,74.35348526699917,8.000000000000423,1.6001,10,8.210010135800879,[[0.]],0.0,0.0,[[0.99999999]],500.0,2.9883342506486787,0.005397134596723712,0.0,0.0,[[0.99999999]],0.0,0.0,2.99008,8.001104490117267,0.0,100,0,1.0,0.0
0.0,1490.1616161616162,78.87577588607573,8.000000000000204,1.6001,11,8.207888664413902,[[0.]],0.0,0.0,[[0.99999999]],500.0,2.991858434084073,0.005408464552410151,0.0,0.0,[[0.99999999]],0.0,0.0,2.97848,8.001095443642802,0.0,100,0,1.0,0.0
0.0,1491.7373737373737,80.68977703746162,7.99999999999993,1.6001,12,8.209422549210622,[[0.]],0.0,0.0,[[0.99999999]],500.0,2.9918877583224943,0.0053996173040875865,0.0,0.0,[[0.99999999]],0.0,0.0,2.98304,8.001101945708854,0.0,100,0,1.0,0.0
0.0,1489.5959595959596,73.6055442564709,8.00000000000046,1.6001,13,8.207260753425816,[[0.]],0.0,0.0,[[0.99999999]],500.0,2.988985517796967,0.005412842793879291,0.0,0.0,[[0.99999999]],0.0,0.0,2.98088,8.001092825830128,0.0,100,0,1.0,0.0
0.0,1491.7575757575758,86.8921415364457,7.999999999999528,1.6001,14,8.209013782497173,[[0.]],0.0,0.0,[[0.99999999]],500.0,2.9927017292072393,0.0054017601597816,0.0,0.0,[[0.99999999]],0.0,0.0,2.9806,8.001100200754724,0.0,100,0,1.0,0.0
0.0,1505.6767676767677,71.01555218526677,8.000000000000556,1.6001,15,8.227998878154462,[[0.]],0.0,0.0,[[0.99999999]],500.0,3.0115085854103087,0.00529410811252521,0.0,0.0,[[0.99999999]],0.0,0.0,3.0098,8.001179553878066,0.0,100,0,1.0,0.0
0.0,1497.6161616161617,75.8694661930498,8.000000000000163,1.6001,16,8.216464013639843,[[0.]],0.0,0.0,[[0.99999999]],500.0,2.996983223176266,0.0053587981595166366,0.0,0.0,[[0.99999999]],0.0,0.0,2.9966,8.001131575329712,0.0,100,0,1.0,0.0
0.0,1512.8080808080808,84.12636920316127,7.999999999999683,1.6001,17,8.233434433516251,[[0.]],0.0,0.0,[[0.99999999]],500.0,3.0135331025226852,0.0052660357886631735,0.0,0.0,[[0.99999999]],0.0,0.0,3.0232,8.001202028803911,0.0,100,0,1.0,0.0
0.0,1508.3636363636363,70.96925704389696,7.999999999999614,1.6001,18,8.230838711176272,[[0.]],0.0,0.0,[[0.99999999]],500.0,3.0125398610474847,0.00527935058627337,0.0,0.0,[[0.99999999]],0.0,0.0,3.01684,8.001191312676097,0.0,100,0,1.0,0.0
0.0,1507.4545454545455,90.662574855002,8.000000000000624,1.6001,19,8.227390238323903,[[0.]],0.0,0.0,[[0.99999999]],500.0,3.0075587375810304,0.005298084825445728,0.0,0.0,[[0.99999999]],0.0,0.0,3.0138,8.001177078447228,0.0,100,0,1.0,0.0
