Omega,ConfortViolation,DualAfter,Eta,DualBefore,NormDeltaVar,WeightMedian,ReturnsMean,ReturnsStd,DeltaOmega,RewardMean,Epsilon,Wins,Primal,Traj,ITERATIONS,WeightMean,NormDeltaOmega,DualReg,RewardStd,TimestepsStd,LossReg,TimestepsMean,OmegaBefore,WeightMax,WeightMin
[[0.96478651]],0,7.875568295750442,1.670945096122182,8.134357184935284,27.488331143152383,0.008331517444843072,1172.989898989899,58.904047116106234,[[0.16478651]],2.34572,1.6201,0.0,7.87557082062941,100,0,0.002517127039710875,0.16478650814031903,0.0,2.428414643671875,0.0,0.0,500.0,[[0.8]],1.0,0.002517127039710875
[[0.99991666]],0,8.11347246973472,0.6756867351720869,8.137503546848869,86.88555384940369,7.211697442887684e-06,1413.5151515151515,76.33635876449365,[[0.03513015]],2.82884,1.6201,0.0,8.113472405156914,100,1,3.73720458280409e-07,0.03513014916982171,0.0,2.8799972663875915,0.0,0.0,500.0,[[0.96478651]],1.0,3.73720458280409e-07
[[0.99999999]],0,8.001226552947047,0.0052406577786424345,8.239333506289176,134.24061920332923,0.0,1501.919191919192,80.46426859519153,[[8.3335773e-05]],3.00288,1.6201,0.0,7.999999999999947,100,2,0.0,8.333577303876183e-05,0.0,2.9985582711696632,0.0,0.0,500.0,[[0.99991666]],1.0,0.0
[[0.99999999]],0,8.001227480239802,0.005239249187605475,8.23956372131271,0.0,0.0,1499.7373737373737,68.80547691651302,[[0.]],3.0014,1.6201,0.0,7.999999999999499,100,3,0.0,0.0,0.0,3.000026339884368,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
[[0.99999999]],0,8.001250000267197,0.005211217329891817,8.24509426274011,0.0,0.0,1504.3838383838383,77.42715143414617,[[0.]],3.00788,1.6201,0.0,7.999999999999791,100,4,0.0,0.0,0.0,3.006888409236365,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
[[0.99999999]],0,8.00122025526303,0.005247849534435748,8.237802805695532,0.0,0.0,1498.1616161616162,82.04885303437646,[[0.]],2.99552,1.6201,0.0,7.999999999999649,100,5,0.0,0.0,0.0,3.000423291737351,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
[[0.99999999]],0,8.001184799408898,0.005293155873367159,8.229179479689822,0.0,0.0,1491.0707070707072,80.40820759720366,[[0.]],2.98208,1.6201,0.0,7.999999999999943,100,6,0.0,0.0,0.0,2.992042592210211,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
[[0.99999999]],0,8.001197070391378,0.005277592379690594,8.232151232400195,0.0,0.0,1496.0,78.50110981651305,[[0.]],2.9888,1.6201,0.0,7.999999999999628,100,7,0.0,0.0,0.0,2.9935187589190084,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
[[0.99999999]],0,8.001180522717652,0.005298929457260343,8.228141876816856,0.0,0.0,1490.5454545454545,81.36900270097307,[[0.]],2.98172,1.6201,0.0,8.000000000000306,100,8,0.0,0.0,0.0,2.990194950433834,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
[[0.99999999]],0,8.00116824331557,0.00531532262097507,8.225173214285599,0.0,0.0,1488.969696969697,77.55056409090305,[[0.]],2.97848,1.6201,0.0,8.000000000000583,100,9,0.0,0.0,0.0,2.9863986488076235,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
