DeltaOmega,Primal,Traj,Omega,WeightMean,NormDeltaVar,NormDeltaOmega,DualReg,RewardMean,Wins,ITERATIONS,ConfortViolation,TimestepsStd,TimestepsMean,WeightMedian,DualAfter,OmegaBefore,ReturnsMean,Epsilon,LossReg,Eta,WeightMin,DualBefore,RewardStd,WeightMax,ReturnsStd
[[0.17516355]],8.120164882372372,100,[[0.97516355]],0.0014004299352935881,32.62855007968537,0.17516354996065864,0.0,2.3272,0.0,0,0,0.0,500.0,0.00521205642242469,8.120164867424505,[[0.8]],1163.010101010101,1.8001,0.0,1.521843940817172,0.0014004299352935881,8.281748838089916,2.4004958154514666,1.0,69.04858411782726
[[0.02483486]],8.177298059823714,100,[[0.99999841]],2.474458458895847e-10,138.32368800562136,0.024834861908198946,0.0,2.83988,0.0,1,0,0.0,500.0,2.0643538132452548e-08,8.177298245813336,[[0.97516355]],1420.2626262626263,1.8001,0.0,0.4520830534534795,2.474458458895847e-10,8.314077322259571,2.887511313501646,1.0,71.79355727243231
[[1.57969508e-06]],8.000000000000222,100,[[0.99999999]],0.0,74.82570720604258,1.5796950830759826e-06,0.0,2.99852,0.0,2,0,0.0,500.0,0.0,8.001893934109809,[[0.99999841]],1499.6767676767677,1.8001,0.0,0.004589297062786533,0.0,8.417973541593273,2.9987460395305234,1.0,81.7157957707136
[[0.]],7.999999999999918,100,[[0.99999999]],0.0,0.0,0.0,0.0,2.98936,0.0,3,0,0.0,500.0,0.0,8.001872849778922,[[0.99999999]],1495.939393939394,1.8001,0.0,0.004607267745235724,0.0,8.411835912781783,2.9925051028193748,1.0,84.15543797667998
[[0.]],7.999999999999696,100,[[0.99999999]],0.0,0.0,0.0,0.0,3.0086,0.0,4,0,0.0,500.0,0.0,8.001918534781677,[[0.99999999]],1505.1515151515152,1.8001,0.0,0.004568519248564641,0.0,8.425175708414356,3.006567152085581,1.0,84.21477636561399
[[0.]],8.000000000000377,100,[[0.99999999]],0.0,0.0,0.0,0.0,2.9696,0.0,5,0,0.0,500.0,0.0,8.001823717871362,[[0.99999999]],1484.3838383838383,1.8001,0.0,0.00464980057480153,0.0,8.397669085295728,2.977306809853496,1.0,68.64970474098476
[[0.]],7.999999999999442,100,[[0.99999999]],0.0,0.0,0.0,0.0,3.02564,0.0,6,0,0.0,500.0,0.0,8.001949942766288,[[0.99999999]],1514.0,1.8001,0.0,0.004542301300156619,0.0,8.43445486886814,3.01396459673965,1.0,74.734817383151
[[0.]],7.9999999999994875,100,[[0.99999999]],0.0,0.0,0.0,0.0,3.01504,0.0,7,0,0.0,500.0,0.0,8.001930312028724,[[0.99999999]],1508.121212121212,1.8001,0.0,0.0045586533792461165,0.0,8.428646173056663,3.009281276052473,1.0,68.93523130955955
[[0.]],7.999999999999493,100,[[0.99999999]],0.0,0.0,0.0,0.0,2.99132,0.0,8,0,0.0,500.0,0.0,8.001882183967577,[[0.99999999]],1495.3333333333333,1.8001,0.0,0.004599271812160524,0.0,8.414541750668782,2.9966522416857115,1.0,77.6300472911375
[[0.]],7.99999999999979,100,[[0.99999999]],0.0,0.0,0.0,0.0,3.00056,0.0,9,0,0.0,500.0,0.0,8.001897470777186,[[0.99999999]],1501.7575757575758,1.8001,0.0,0.004586302161495216,0.0,8.419008162410233,2.999466566974868,1.0,74.29141240923754
