DeltaOmega,OmegaBefore,ITERATIONS,NormDeltaVar,ReturnsMean,Primal,DualAfter,DualReg,WeightMin,ConfortViolation,WeightMedian,TimestepsMean,ReturnsStd,Epsilon,DualBefore,Traj,NormDeltaOmega,Eta,Wins,TimestepsStd,Omega,RewardStd,WeightMean,WeightMax,LossReg,RewardMean
[[0.18040325]],[[0.8]],0,36.090081561534944,1173.4141414141413,8.248536259745064,8.248536264712065,0.0,0.0010574655183492312,0,0.004163062892162347,500.0,61.65675761517439,1.8601,8.372041316730357,100,0.1804032469252217,1.4594534096928726,0.0,0.0,[[0.98040325]],2.4274552153232403,0.0010574655183492312,1.0,0.0,2.34424
[[0.01959576]],[[0.98040325]],1,141.6234530986597,1438.5050505050506,8.211145862044553,8.21114606024793,0.0,5.483849766297217e-11,0,6.183985161158313e-09,500.0,70.62225215712768,1.8601,8.400917020587167,100,0.01959576374961225,0.4232512452528548,0.0,0.0,[[0.99999901]],2.9161212320478036,5.483849766297217e-11,1.0,0.0,2.8764
[[9.78808284e-07]],[[0.99999901]],2,64.91488936903153,1501.2323232323233,8.000000000000622,8.002111335098354,0.0,0.0,0,0.0,500.0,80.29426036858392,1.8601,8.483903183437207,100,9.788082838690926e-07,0.004410801739004788,0.0,0.0,[[0.99999999]],3.006762366666179,0.0,1.0,0.0,3.00448
[[0.]],[[0.99999999]],3,0.0,1500.3838383838383,7.999999999999476,8.002098052552373,0.0,0.0,0,0.0,500.0,79.7144787516079,1.8601,8.479786895306848,100,0.0,0.004421370577138567,0.0,0.0,[[0.99999999]],3.002585059844267,0.0,1.0,0.0,2.99828
[[0.]],[[0.99999999]],4,0.0,1498.1818181818182,8.00000000000041,8.00208698054802,0.0,0.0,0,0.0,500.0,89.19441523899089,1.8601,8.476383736547175,100,0.0,0.00443018592310074,0.0,0.0,[[0.99999999]],2.9970095858371892,0.0,1.0,0.0,2.99632
[[0.]],[[0.99999999]],5,0.0,1499.2121212121212,8.00000000000044,8.002107254208454,0.0,0.0,0,0.0,500.0,78.85740522060514,1.8601,8.48264467299218,100,0.0,0.004414029854881096,0.0,0.0,[[0.99999999]],3.0045005705441294,0.0,1.0,0.0,3.00404
[[0.]],[[0.99999999]],6,0.0,1492.7878787878788,8.0000000000002,8.002070656703136,0.0,0.0,0,0.0,500.0,74.72390564804839,1.8601,8.471333870167163,100,0.0,0.004443322734198804,0.0,0.0,[[0.99999999]],2.995444389335246,0.0,1.0,0.0,2.98348
[[0.]],[[0.99999999]],7,0.0,1504.9292929292928,8.000000000000542,8.002113356062171,0.0,0.0,0,0.0,500.0,76.35870327714267,1.8601,8.484550759209037,100,0.0,0.004409159074709194,0.0,0.0,[[0.99999999]],3.004915322334392,0.0,1.0,0.0,3.00916
[[0.]],[[0.99999999]],8,0.0,1493.7171717171718,7.999999999999671,8.002081566903971,0.0,0.0,0,0.0,500.0,89.51767958150715,1.8601,8.474688375601188,100,0.0,0.004434565298073152,0.0,0.0,[[0.99999999]],2.998804616242946,0.0,1.0,0.0,2.98856
[[0.]],[[0.99999999]],9,0.0,1502.3434343434344,7.9999999999999725,8.002101630521173,0.0,0.0,0,0.0,500.0,73.46216804355716,1.8601,8.48090756622246,100,0.0,0.0044184952406742,0.0,0.0,[[0.99999999]],3.002024958190721,0.0,1.0,0.0,3.00248
