epsilon,J,primal
1.009999999999999960e-02,7.084646464646464636e+00,7.669549734062999669e+00
3.010000000000000175e-02,9.980000000000000426e+00,9.999999999998859579e+00
5.009999999999999870e-02,9.980000000000000426e+00,9.999999999997793765e+00
7.009999999999999565e-02,9.980000000000000426e+00,1.000000000000249933e+01
9.009999999999999953e-02,9.980000000000000426e+00,1.000000000000021316e+01
1.101000000000000034e-01,9.980000000000000426e+00,1.000000000000155964e+01
1.300999999999999934e-01,9.980000000000000426e+00,9.999999999998204103e+00
1.501000000000000112e-01,9.980000000000000426e+00,1.000000000000216893e+01
1.701000000000000012e-01,9.980000000000000426e+00,9.999999999998772537e+00
1.900999999999999912e-01,9.980000000000000426e+00,9.999999999997793765e+00
2.101000000000000090e-01,9.980000000000000426e+00,9.999999999999037215e+00
2.300999999999999990e-01,9.980000000000000426e+00,9.999999999997880806e+00
2.500999999999999890e-01,9.980000000000000426e+00,9.999999999997859490e+00
2.701000000000000068e-01,9.980000000000000426e+00,9.999999999998900435e+00
2.901000000000000245e-01,9.980000000000000426e+00,9.999999999998792077e+00
3.100999999999999868e-01,9.980000000000000426e+00,1.000000000000212630e+01
3.301000000000000045e-01,9.980000000000000426e+00,9.999999999997891464e+00
3.501000000000000223e-01,9.980000000000000426e+00,1.000000000000182432e+01
3.700999999999999845e-01,9.980000000000000426e+00,1.000000000000138023e+01
3.901000000000000023e-01,9.980000000000000426e+00,1.000000000000166089e+01
4.101000000000000201e-01,9.980000000000000426e+00,1.000000000000078693e+01
4.300999999999999823e-01,9.980000000000000426e+00,9.999999999998475886e+00
4.501000000000000001e-01,9.980000000000000426e+00,9.999999999999364064e+00
4.701000000000000179e-01,9.980000000000000426e+00,1.000000000000170353e+01
4.900999999999999801e-01,9.980000000000000426e+00,9.999999999998632205e+00
5.100999999999999979e-01,9.980000000000000426e+00,9.999999999999213074e+00
5.301000000000000156e-01,9.980000000000000426e+00,9.999999999998896882e+00
5.501000000000000334e-01,9.980000000000000426e+00,1.000000000000032863e+01
5.701000000000000512e-01,9.980000000000000426e+00,1.000000000000194333e+01
5.900999999999999579e-01,9.980000000000000426e+00,1.000000000000138556e+01
6.100999999999999757e-01,9.980000000000000426e+00,9.999999999998603784e+00
6.300999999999999934e-01,9.980000000000000426e+00,9.999999999998211209e+00
6.501000000000000112e-01,9.980000000000000426e+00,1.000000000000077804e+01
6.701000000000000290e-01,9.980000000000000426e+00,9.999999999999495515e+00
6.901000000000000467e-01,9.980000000000000426e+00,9.999999999999122480e+00
7.101000000000000645e-01,9.980000000000000426e+00,9.999999999997793765e+00
7.300999999999999712e-01,9.980000000000000426e+00,9.999999999998816946e+00
7.500999999999999890e-01,2.539515151515151281e+00,6.275777505519799959e+00
7.701000000000000068e-01,2.573818181818182005e+00,6.385683726105657598e+00
7.901000000000000245e-01,2.621939393939393792e+00,6.518087160441583094e+00
8.101000000000000423e-01,2.643111111111111189e+00,6.583575153503658406e+00
8.301000000000000600e-01,2.682020202020201971e+00,6.685936382681687995e+00
8.500999999999999668e-01,2.709575757575757304e+00,6.771055724529142061e+00
8.700999999999999845e-01,2.729050505050504949e+00,6.850915245932107212e+00
8.901000000000000023e-01,2.728080808080808328e+00,6.897546361210784127e+00
9.101000000000000201e-01,2.753131313131312652e+00,6.967182268331465700e+00
9.301000000000000378e-01,2.799878787878788078e+00,7.070016073884175967e+00
9.501000000000000556e-01,2.814505050505050843e+00,7.134082819712689094e+00
9.700999999999999623e-01,2.846383838383838238e+00,7.209840322668168433e+00
9.900999999999999801e-01,2.831111111111110912e+00,7.235069582719312109e+00
1.010099999999999998e+00,2.855878787878788128e+00,7.299595203887911943e+00
1.030100000000000016e+00,2.868363636363636449e+00,7.353784058182212924e+00
1.050100000000000033e+00,2.872929292929293332e+00,7.397961554050252353e+00
1.070100000000000051e+00,2.890303030303030596e+00,7.448111663693257611e+00
1.090100000000000069e+00,2.896484848484848662e+00,7.497136883957987052e+00
1.110100000000000087e+00,2.910787878787878924e+00,7.546944108291254061e+00
1.130100000000000104e+00,2.939070707070706501e+00,7.607126861521793515e+00
1.150100000000000122e+00,2.933494949494949378e+00,7.638766518969644537e+00
1.170099999999999918e+00,2.940161616161616198e+00,7.678686511697682349e+00
1.190099999999999936e+00,2.966909090909091162e+00,7.732003369056696940e+00
1.210099999999999953e+00,2.972969696969697484e+00,7.769119903462918586e+00
1.230099999999999971e+00,2.996323232323232499e+00,7.818354851442041564e+00
1.250099999999999989e+00,2.975111111111111040e+00,7.826946349177564599e+00
1.270100000000000007e+00,2.982868686868687114e+00,7.862686454109705458e+00
1.290100000000000025e+00,2.996121212121212185e+00,7.897785227770068417e+00
1.310100000000000042e+00,2.995030303030302488e+00,7.921941583289173749e+00
1.330100000000000060e+00,3.002303030303030695e+00,7.950227387567652571e+00
1.350100000000000078e+00,3.020404040404039758e+00,7.979530784646633457e+00
1.370100000000000096e+00,3.006141414141414892e+00,7.991709185241270497e+00
1.390100000000000113e+00,9.980000000000000426e+00,9.999999999998467004e+00
1.410100000000000131e+00,3.018020202020201825e+00,8.000000000000444089e+00
1.430099999999999927e+00,3.032929292929293474e+00,8.000000000000589750e+00
1.450099999999999945e+00,3.028646464646464587e+00,8.023434556573855403e+00
1.470099999999999962e+00,3.036363636363636598e+00,8.034909435425063862e+00
1.490099999999999980e+00,3.015959595959595951e+00,8.042247492207497572e+00
