iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;average_reward;w_current_0;w_current_1;w_target_0;w_target_1;theta_current_0;theta_current_1;theta_target_0;theta_target_1
0.000000000000000000000000000000e+00;2.038792219020039624410856049508e+02;1.490340568895940798199717391981e+00;nan;1.600000000000000088817841970013e+00;1.600000000000026956215037898801e+00;nan;nan;5.919340245157311212586409565617e-05;nan;1.000000000000000000000000000000e+00;nan;4.410916454228193384328599035982e-05;2.057689795854886316561760395416e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.000473547219612791003839902260e-01;7.999526452780387764107672410319e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
9.800000000000000000000000000000e+01;2.047600727759316896481323055923e+02;1.518874808935514186813975356927e+00;nan;1.590603356768277798494182206923e+00;1.590603356768219844852296773752e+00;nan;nan;6.104160379643665051366957507994e-05;nan;1.000000000000000000000000000000e+00;nan;4.635727715171504044336728278530e-05;2.066713627022960686474561953219e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.047468681058114692294935821337e-01;7.952531318941881144368721834326e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.980000000000000000000000000000e+02;2.057051945710713312109874095768e+02;1.548260097749523778176694577269e+00;nan;1.580771131610904323139266125509e+00;1.580771131610937407785399955173e+00;nan;nan;6.299900272256892636794228801378e-05;nan;1.000000000000000000000000000000e+00;nan;4.876942105668353809972900836378e-05;2.076394098090208917284371636924e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.096642276969599705260804967111e-01;7.903357723030401960073731970624e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.980000000000000000000000000000e+02;2.066994951502919661834312137216e+02;1.577899120005681332656877202680e+00;nan;1.570686346334190464091307148919e+00;1.570686346334253968848315707874e+00;nan;nan;6.503213957434388699414828938217e-05;nan;1.000000000000000000000000000000e+00;nan;5.130707790322193407282769239686e-05;2.086576441637010503882265766151e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.147078993797560675371727256788e-01;7.852921006202443487964615087549e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.980000000000000000000000000000e+02;2.077455334848563950345123885199e+02;1.607772319968784113797255486134e+00;nan;1.560342513432728672739813191583e+00;1.560342513432793287719846375694e+00;nan;nan;6.714480394080943814142520276178e-05;nan;1.000000000000000000000000000000e+00;nan;5.397677860288217267532157039867e-05;2.097286724744144681409352415358e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.198811277297083033310798327875e-01;7.801188722702920852469787860173e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
4.980000000000000000000000000000e+02;2.088460016993095393900148337707e+02;1.637858282879736115944524499355e+00;nan;1.549732978756723333901845762739e+00;1.549732978756836132561147678643e+00;nan;nan;6.934103455559658302394254736356e-05;nan;1.000000000000000000000000000000e+00;nan;5.678539389516692363971128720834e-05;2.108552369647524571405483584385e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.251872406656547087600017675868e-01;7.748127593343461239072667012806e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.980000000000000000000000000000e+02;2.100037319999266856029862537980e+02;1.668133616608796776503709224926e+00;nan;1.538850917231400217133341357112e+00;1.538850917231552761776924853621e+00;nan;nan;7.162514013896711451753057664504e-05;nan;1.000000000000000000000000000000e+00;nan;5.974015203006355378446967652195e-05;2.120402224220850229130519437604e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.306296515906001987072926340261e-01;7.693703484094008837601563755015e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
6.980000000000000000000000000000e+02;2.112217039637062612200679723173e+02;1.698572826595679430283780675381e+00;nan;1.527689328466461882172211517172e+00;1.527689328466435014775015588384e+00;nan;nan;7.400172237140052874330292675964e-05;nan;1.000000000000000000000000000000e+00;nan;6.284865737066924360962327789082e-05;2.132866636124951753572531742975e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.362118615875464788800286441983e-01;7.637881384124534100976688932860e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
7.980000000000000000000000000000e+02;2.125030522067603726554807508364e+02;1.729148183712595043814985729114e+00;nan;1.516241032252764631138575168734e+00;1.516241032252904075150468088395e+00;nan;nan;7.647570125743704963841573807315e-05;nan;1.000000000000000000000000000000e+00;nan;6.611890996372215027407359677625e-05;2.145977530814591194285867459257e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.419374616717265558119009938309e-01;7.580625383282743046109430906654e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
8.980000000000000000000000000000e+02;2.138510744513190502402721904218e+02;1.759829584667930602037699827633e+00;nan;1.504498663943309777479839794978e+00;1.504498663943317326996407246043e+00;nan;nan;7.905234317529990552015500826499e-05;nan;1.000000000000000000000000000000e+00;nan;6.955932612860738514879571647853e-05;2.159768493603372085942737612640e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.478101351006895269879493071130e-01;7.521898648993105007676263085159e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
9.980000000000000000000000000000e+02;2.152692400130530927526706364006e+02;1.790584404547011176944693033875e+00;nan;1.492454669715600257262622108101e+00;1.492454669715463699830593213846e+00;nan;nan;8.173729194968498831461167775103e-05;nan;1.000000000000000000000000000000e+00;nan;7.317876011750594868795344316581e-05;2.174274855997984090549834945705e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.538336597437295671930712614994e-01;7.461663402562694891173578071175e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.098000000000000000000000000000e+03;2.167611987295908591022453038022e+02;1.821377341065210986315037189343e+00;nan;1.480101301712289263434740860248e+00;1.480101301712062333848507478251e+00;nan;nan;8.453660333524979383999081727907e-05;nan;1.000000000000000000000000000000e+00;nan;7.698652690272086073983159870693e-05;2.189533786523817582292394945398e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.600119105121738716235313404468e-01;7.399880894878243520196292593027e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.198000000000000000000000000000e+03;2.183307903537908032376435585320e+02;1.852170250087166181174325174652e+00;nan;1.467430613057016053346615080955e+00;1.467430613056726507181792840129e+00;nan;nan;8.745678335551086755948052564591e-05;nan;1.000000000000000000000000000000e+00;nan;8.099242614969783199754815861127e-05;2.205584386275682984290824606433e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.663488618520986617177470634488e-01;7.336511381478991733473549174960e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.298000000000000000000000000000e+03;2.199820544357425262660399312153e+02;1.882921971940437755321795521013e+00;nan;1.454434452742205063913161211531e+00;1.454434452741824923549529557931e+00;nan;nan;9.050483100964995433323351248234e-05;nan;1.000000000000000000000000000000e+00;nan;8.520676743741306745187624738236e-05;2.222467789439460439382401091279e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.728485903010761104425796474970e-01;7.271514096989210029775563270960e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.398000000000000000000000000000e+03;2.217192407190348433232429670170e+02;1.913588148028954938340007174702e+00;nan;1.441104460385557839430248350254e+00;1.441104460385181473824900422187e+00;nan;nan;9.368828593909069816104279171398e-05;nan;1.000000000000000000000000000000e+00;nan;8.964039679109587284606963653033e-05;2.240227269043319147101556154666e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.795152771105959832453891067416e-01;7.204847228894012411970493303670e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.498000000000000000000000000000e+03;2.235468200778615823764994274825e+02;1.944121027224037678848844734603e+00;nan;1.427432060851846706839296530234e+00;1.427432060851536732570821186528e+00;nan;nan;9.701528173916015114139343999966e-05;nan;1.000000000000000000000000000000e+00;nan;9.430472459558271014056635150880e-05;2.258908348210579841719436444691e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.863532109358489785577717157139e-01;7.136467890641488009961790339730e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.598000000000000000000000000000e+03;2.254694960233196923127252375707e+02;1.974469261483132065393419907195e+00;nan;1.413408458736560069368692893477e+00;1.413408458736318706883139384445e+00;nan;nan;1.004946057114227135793893541660e-04;nan;1.000000000000000000000000000000e+00;nan;9.921175496103564546597486373258e-05;2.278558917200487865528657493996e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.933667905946040765918780834909e-01;7.066332094053942025624337475165e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.698000000000000000000000000000e+03;2.274922168084055442704993765801e+02;2.004577690119103028365543650580e+00;nan;1.399024632707853488255977936205e+00;1.399024632707667858966260610032e+00;nan;nan;1.041357659832514687787627383209e-04;nan;1.000000000000000000000000000000e+00;nan;1.043741166167448935087752603934e-04;2.299229356538020851985493209213e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;3.005605278969508131758914259990e-01;6.994394721030477990453277925553e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
