iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;average_reward;w_current_0;w_current_1;w_target_0;w_target_1;theta_current_0;theta_current_1;theta_target_0;theta_target_1
0.000000000000000000000000000000e+00;2.038792219020039624410856049508e+02;1.490340568895940798199717391981e+00;2.628967614826505094782760352246e-01;1.600000000000000088817841970013e+00;1.600000000000026956215037898801e+00;1.600000000000000088817841970013e+00;9.600000000000161737290227392805e-01;5.919340245157410823661006671337e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.410916454228265890348884004091e-05;2.057689795854886316561760395416e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;2.000473547219612791003839902260e-01;7.999526452780387764107672410319e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
9.800000000000000000000000000000e+01;2.047600727759289895857364172116e+02;1.518874808935506415252802980831e+00;2.572916718592768714479745995050e-01;1.590603356768277798494182206923e+00;1.590603356768219178718481998658e+00;1.600000000000000088817841970013e+00;9.637586572926528649674082771526e-01;6.104160379643411619109139021333e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.635727715171287203902231177644e-05;2.066713627022960242385352103156e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;2.047468681058114414739179665048e-01;7.952531318941881144368721834326e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.980000000000000000000000000000e+02;2.057051945710707627767988014966e+02;1.548260097749517338883151751361e+00;2.506556341157911149686299268069e-01;1.580771131610904323139266125509e+00;1.580771131610931412581066979328e+00;1.600000000000000088817841970013e+00;9.676915473556549907030444046541e-01;6.299900272256996991253330531180e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.876942105668415473971460949443e-05;2.076394098090208917284371636924e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;2.096642276969599427705048810822e-01;7.903357723030401960073731970624e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.980000000000000000000000000000e+02;2.066994951502878450355638051406e+02;1.577899120005683997192136303056e+00;2.430298999106251800483846636780e-01;1.570686346334190464091307148919e+00;1.570686346334221994425206503365e+00;1.600000000000000088817841970013e+00;9.717254614663435319243944832124e-01;6.503213957434662460463381528086e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.130707790322418379233559981856e-05;2.086576441637009615703846066026e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;2.147078993797560120260214944210e-01;7.852921006202442377741590462392e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.980000000000000000000000000000e+02;2.077455334848577308548556175083e+02;1.607772319968849616955708370369e+00;2.343464189601852099009704488708e-01;1.560342513432728228650603341521e+00;1.560342513432793287719846375694e+00;1.600000000000000088817841970013e+00;9.758629946269500310407352117181e-01;6.714480394081499467755919097200e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.397677860288884051868235625093e-05;2.097286724744145125498562265420e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;2.198811277297086641535628359634e-01;7.801188722702917521800713984703e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
4.980000000000000000000000000000e+02;2.088460016993043950606079306453e+02;1.637858282879759874717251477705e+00;2.245331748806205229840315951151e-01;1.549732978756721557545006362488e+00;1.549732978756820589438802926452e+00;1.600000000000000088817841970013e+00;9.801068084973748595345455214556e-01;6.934103455560279008138002687645e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.678539389517282576528775517311e-05;2.108552369647526347762322984636e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;2.251872406656554581605433895675e-01;7.748127593343451247065445386397e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.980000000000000000000000000000e+02;2.100037319999189833197306143120e+02;1.668133616608816538473547552712e+00;2.135139678949840025268258614233e-01;1.538850917231397774642687181768e+00;1.538850917231493253822804945230e+00;1.600000000000000088817841970013e+00;9.844596331075028405876992110279e-01;7.162514013897528669140568613471e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.974015203007107543704129470896e-05;2.120402224220852005487358837854e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;2.306296515906013089303172591826e-01;7.693703484093994404702243627980e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
6.980000000000000000000000000000e+02;2.112217039637136792862293077633e+02;1.698572826595690310469422001916e+00;2.012081859531575367405764609430e-01;1.527689328466458995592347491765e+00;1.527689328466487639346382820804e+00;1.600000000000000088817841970013e+00;9.889242686134351867366376609425e-01;7.400172237139995953716237186981e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.284865737066918939951465361560e-05;2.132866636124955306286210543476e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;2.362118615875480609478387350464e-01;7.637881384124521888523418056138e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
7.980000000000000000000000000000e+02;2.125030522067656590934348059818e+02;1.729148183712537978351519996068e+00;1.875305636545961940342408524884e-01;1.516241032252761300469501293264e+00;1.516241032252937381841206843092e+00;1.600000000000000088817841970013e+00;9.935035870990123196833110341686e-01;7.647570125744188789061045463669e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.611890996372414249556553889065e-05;2.145977530814596079267175809946e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;2.419374616717282766575891628236e-01;7.580625383282728613210110779619e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
8.980000000000000000000000000000e+02;2.138510744513260988242109306157e+02;1.759829584667902846462084198720e+00;1.723909283316149565479236116516e-01;1.504498663943306446810765919508e+00;1.504498663943369951567774478463e+00;1.600000000000000088817841970013e+00;9.982005344227199428175367756921e-01;7.905234317529941762917738978800e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.955932612860585371322708070352e-05;2.159768493603377415013255813392e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;2.478101351006914421226667855080e-01;7.521898648993089464553918332967e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
